year,pt_econ_rate,covid_flag
1955,3.4091549239101573,False
1956,3.5228847733991375,False
1957,3.8566400183147795,False
1958,5.192619852058648,False
1959,4.079082757606938,False
1960,4.333594286394718,False
1961,4.769111620661376,False
1962,3.9846580545213763,False
1963,3.8684612489761587,False
1964,3.5477870221508216,False
1965,3.1060780166126514,False
1966,2.677305451119222,False
1967,2.914365105152884,False
1968,2.5899165272526883,False
1969,2.6346737663710713,False
1970,3.1126294324832497,False
1971,3.3978329311297197,False
1972,3.209343947273904,False
1973,2.993290326626273,False
1974,3.4531422355901467,False
1975,4.439188592211565,False
1976,4.070683454926153,False
1977,3.9148456765805686,False
1978,3.6545793082146263,False
1979,3.6163160056092276,False
1980,4.342670605216341,False
1981,4.756161836661009,False
1982,6.206555867208104,False
1983,6.213776800621559,False
1984,5.468745659835893,False
1985,5.217957332437426,False
1986,5.10642051023147,False
1987,4.807184911567127,False
1988,4.526382394873048,False
1989,4.1720291720291725,False
1990,4.383156512442934,False
1991,5.240306367699291,False
1992,5.5029521294365455,False
1993,5.3896323480497585,False
1994,3.7575819952412353,False
1995,3.585431706872845,False
1996,3.4108619911853015,False
1997,3.1414242237926304,False
1998,2.781751537512257,False
1999,2.5122798782280524,False
2000,2.3584618531197807,False
2001,2.72286024468256,False
2002,3.0890154972825874,False
2003,3.4147309546326094,False
2004,3.279654935701431,False
2005,3.070882394277989,False
2006,2.881689729609333,False
2007,3.014032849443285,False
2008,4.050321041411218,False
2009,6.373281659257284,False
2010,6.380750254954385,False
2011,6.120734745523412,False
2012,5.699437618990522,False
2013,5.512398627212138,False
2014,4.931758536163078,False
2015,4.283548397210515,False
2016,3.9250796676492943,False
2017,3.4238307839881745,False
2018,3.0673202236731445,False
2019,2.797119196802869,False
2020,4.889052007628996,True
2021,3.2205140304568975,True
2022,2.4827259446440557,False
2023,2.5267905516765667,False
2024,2.768291725545611,False
2025,2.9360251019279455,False
