year,period,value
2024,M04,1.0
2024,M05,1.1
2024,M06,0.9
2024,M07,1.1
2024,M08,1.1
2024,M09,1.1
2024,M10,1.0
2024,M11,1.2
2024,M12,1.1
2025,M01,1.1
2025,M02,1.2
2025,M03,1.0
2025,M04,1.1
2025,M05,1.1
2025,M06,1.2
2025,M07,1.1
2025,M08,1.2
2025,M09,1.1
2025,M10,1.2
2025,M11,1.0
2025,M12,1.1
