year,wjsi_legacy,composite_legacy,union_z,tenure_z
1983,282.9716740589677,2.3134615209105185,2.509270833231805,2.117652208589232
1984,258.0491850811309,1.9368694085831293,2.0272493913841836,1.8464894257820752
1985,239.26125311434964,1.6529737273802816,1.730620811785647,1.575326642974916
1986,224.15405535420172,1.4246959048521592,1.5452279495365617,1.3041638601677568
1987,209.04685759405388,1.1964180823240382,1.3598350872874765,1.0330010773606
1988,204.3498746023586,1.1254441620233262,1.2856779423878428,0.9652103816588095
1989,197.19906880624103,1.0173916692727976,1.1373636525885737,0.8974196859570215
1990,190.04826301012358,0.9093391765222698,0.9890493627893062,0.8296289902552335
1991,187.80510282285047,0.8754438286713746,0.9890493627893062,0.7618382945534431
1992,175.15172786712486,0.6842445785930705,0.8778136454398549,0.4906755117462862
1993,166.17908711803256,0.5486631871894909,0.8778136454398549,0.21951272893912696
1994,154.75262356451807,0.3760032233360956,0.8036565005402211,-0.05165005386802987
1995,138.41851440215905,0.12918611458306495,0.581185065841319,-0.3228128366751891
1996,124.53822804422234,-0.08055242172014765,0.4328707760420507,-0.593975619482346
1997,101.6853009371933,-0.4258723494269398,0.2845564862427824,-1.136301185096662
1998,81.28619663458653,-0.7341137046839141,0.2103993413431486,-1.678626750710977
1999,76.79987626004039,-0.801904400385704,0.2103993413431486,-1.8142081421145566
2000,66.17899887443866,-0.9623915272120358,0.025006479094063422,-1.949789533518135
