date,openings_rate,quits_rate,layoffs_rate,openings_z,quits_z,layoffs_z,composite,jolts_mci,jolts_mci_ma12
2001-01-01,3.8,2.4,1.7,0.1086915201280522,1.0841442792298923,-0.590277013866263,0.20085292849722722,106.82984596311096,
2001-02-01,3.7,2.3,1.4,0.029738842068934113,0.8071057070246388,-0.065845313491498,0.25699974520069163,107.92392597130087,
2001-03-01,3.5,2.3,1.6,-0.12816651404930277,0.8071057070246388,-0.41546644707467495,0.08782424863355369,104.62736279039513,
2001-04-01,3.4,2.4,1.4,-0.2071191921084212,1.0841442792298923,-0.065845313491498,0.2703932578766577,108.18491270783493,
2001-05-01,3.2,2.3,1.5,-0.3650245482266577,0.8071057070246388,-0.24065588028308646,0.06714175950496488,104.22434265134245,
2001-06-01,3.2,2.2,1.5,-0.3650245482266577,0.5300671348193865,-0.24065588028308646,-0.025204431230119218,102.42487961767928,
2001-07-01,3.3,2.2,1.5,-0.2860718701675396,0.5300671348193865,-0.24065588028308646,0.0011131281229201466,102.93770505005565,101.8697499922419
2001-08-01,3.0,2.2,1.5,-0.5229299043448946,0.5300671348193865,-0.24065588028308646,-0.0778395499361982,101.39922875292653,101.28899219996576
2001-09-01,3.0,2.1,1.6,-0.5229299043448946,0.253028562614133,-0.41546644707467495,-0.22845592960181219,98.46430956118685,100.27441511536524
2001-10-01,2.7,2.1,1.8,-0.7597879385222496,0.253028562614133,-0.7650875806578514,-0.42394898552198934,94.65492094790471,99.52195317557268
2001-11-01,2.8,2.0,1.7,-0.6808352604631315,-0.024010009591120537,-0.590277013866263,-0.431707427973505,94.50373950469441,98.48562719626098
2001-12-01,2.7,2.0,1.5,-0.7597879385222496,-0.024010009591120537,-0.24065588028308646,-0.34148460946548553,96.26182638847101,97.62939346885175
2002-01-01,2.7,2.2,1.5,-0.7597879385222496,0.5300671348193865,-0.24065588028308646,-0.15679222799531653,99.86075245579738,96.88037954154971
2002-02-01,2.6,2.0,1.5,-0.838740616581368,-0.024010009591120537,-0.24065588028308646,-0.36780216881852495,95.74900095609463,96.14396406784856
2002-03-01,2.7,1.9,1.4,-0.7597879385222496,-0.30104858179637406,-0.065845313491498,-0.37556061127004053,95.5978195128843,95.6731117514459
2002-04-01,2.6,2.0,1.5,-0.838740616581368,-0.024010009591120537,-0.24065588028308646,-0.36780216881852495,95.74900095609463,95.25414532885158
2002-05-01,2.6,1.9,1.5,-0.838740616581368,-0.30104858179637406,-0.24065588028308646,-0.46014835955360955,93.94953792243143,95.19536341006214
2002-06-01,2.5,1.9,1.5,-0.9176932946404864,-0.30104858179637406,-0.24065588028308646,-0.486465918906649,93.43671249005504,94.9992246920683
2002-07-01,2.5,2.0,1.6,-0.9176932946404864,-0.024010009591120537,-0.41546644707467495,-0.452389917102094,94.10071936564175,94.72106308116894
2002-08-01,2.6,2.0,1.5,-0.838740616581368,-0.024010009591120537,-0.24065588028308646,-0.36780216881852495,95.74900095609463,94.13384052354873
2002-09-01,2.5,1.9,1.5,-0.9176932946404864,-0.30104858179637406,-0.24065588028308646,-0.486465918906649,93.43671249005504,93.89841436534739
2002-10-01,2.6,1.9,1.5,-0.838740616581368,-0.30104858179637406,-0.24065588028308646,-0.46014835955360955,93.94953792243143,93.48289595524363
2002-11-01,2.6,1.8,1.5,-0.838740616581368,-0.5780871540016269,-0.24065588028308646,-0.5524945502886938,92.15007488876824,93.054779091539
2002-12-01,2.4,1.9,1.5,-0.9966459726996049,-0.30104858179637406,-0.24065588028308646,-0.5127834782596884,92.92388705767867,92.76746703952932
2003-01-01,2.6,1.9,1.6,-0.838740616581368,-0.30104858179637406,-0.41546644707467495,-0.518418548484139,92.81408176435494,92.5228904402177
2003-02-01,2.4,1.9,1.5,-0.9966459726996049,-0.30104858179637406,-0.24065588028308646,-0.5127834782596884,92.92388705767867,91.9448183237078
2003-03-01,2.3,1.8,1.5,-1.0755986507587232,-0.5780871540016269,-0.24065588028308646,-0.6314472283478122,90.61159859163911,91.22023896688319
2003-04-01,2.3,1.8,1.5,-1.0755986507587232,-0.5780871540016269,-0.24065588028308646,-0.6314472283478122,90.61159859163911,90.98481280868187
2003-05-01,2.5,1.8,1.6,-0.9176932946404864,-0.5780871540016269,-0.41546644707467495,-0.6370822985722627,90.50179329831538,90.94207735598383
2003-06-01,2.5,1.8,1.6,-0.9176932946404864,-0.5780871540016269,-0.41546644707467495,-0.6370822985722627,90.50179329831538,90.8993419032858
2003-07-01,2.2,1.7,1.6,-1.1545513288178413,-0.8551257262068804,-0.41546644707467495,-0.8083811673664655,87.16385396752305,90.94207735598384
2003-08-01,2.4,1.7,1.7,-0.9966459726996049,-0.8551257262068804,-0.590277013866263,-0.814016237590916,87.05404867419931,90.79212210317856
2003-09-01,2.3,1.8,1.5,-1.0755986507587232,-0.5780871540016269,-0.24065588028308646,-0.6314472283478122,90.61159859163911,90.87759300857464
2003-10-01,2.5,1.9,1.5,-0.9176932946404864,-0.30104858179637406,-0.24065588028308646,-0.486465918906649,93.43671249005504,91.21108852577288
2003-11-01,2.5,1.8,1.5,-0.9176932946404864,-0.5780871540016269,-0.24065588028308646,-0.5788121096417332,91.63724945639187,91.48925013667224
2003-12-01,2.5,1.9,1.5,-0.9176932946404864,-0.30104858179637406,-0.24065588028308646,-0.486465918906649,93.43671249005504,91.66934238857469
2004-01-01,2.6,1.8,1.6,-0.838740616581368,-0.5780871540016269,-0.41546644707467495,-0.6107647392192233,91.01461873069175,92.15849558719798
2004-02-01,2.6,1.9,1.5,-0.838740616581368,-0.30104858179637406,-0.24065588028308646,-0.46014835955360955,93.94953792243143,93.0540167548147
2004-03-01,2.6,2.0,1.6,-0.838740616581368,-0.024010009591120537,-0.41546644707467495,-0.42607235774905455,94.61354479801813,93.77859611163932
2004-04-01,2.6,1.9,1.5,-0.838740616581368,-0.30104858179637406,-0.24065588028308646,-0.46014835955360955,93.94953792243143,94.14222862793473
2004-05-01,2.7,1.8,1.5,-0.7597879385222496,-0.5780871540016269,-0.24065588028308646,-0.5261769909356543,92.66290032114463,94.40779178523321
