year,wjsi_ex_openings,composite,union_z,quits_z,layoffs_z,tenure_z
2001,90.78853351295729,-0.09872072852766456,1.7683623175270988,0.5685925972398925,-0.6721344403334446,-2.059703388544205
2002,88.88910411537992,-0.13900239467198688,1.7683623175270988,-0.16706560453125363,-0.47209442832944387,-1.6852118633543487
2003,84.61589064114025,-0.229625483243897,1.3952900986395247,-0.5467601602841022,-0.6435572957614453,-1.1234745755695652
2004,93.39436113873398,-0.04345830151402007,1.0222178797519506,-0.19079651426580602,-0.443517283757443,-0.5617372877847818
2005,100.0,0.0966291055877451,1.0222178797519506,0.28382168042525524,-0.3577858500414435,-0.5617372877847818
2006,100.78313727897228,0.11323729037048555,0.5558776061424834,0.4736689583016805,-0.014860115177439992,-0.5617372877847818
2007,99.27117588881495,0.08117275350530728,0.6491456608643765,0.23635986095614922,-0.1863229826094421,-0.3744915251898545
2008,91.94789491042874,-0.07413386638205106,0.9289498250300575,-0.45183652134589025,-0.5864030066174443,-0.18724576259492726
2009,72.32054979300533,-0.49037579900026396,0.8356817703081644,-1.8994220151536283,-1.2722544763454497,0.37449152518985784
2010,89.8066548757358,-0.11954367014857675,0.46260955142059024,-1.6621129178080982,-0.21490012718144222,0.936228812974643
2011,96.09072491663187,0.013724147932881903,0.36934149669869715,-1.495996549666226,-0.12916869346544116,1.3107203381644976
2012,98.03399102608947,0.05493547000180854,-0.09699877691077011,-1.3536110912589079,-0.014860115177439992,1.685211863354352
2013,106.4954157439812,0.23437898394665968,-0.09699877691077011,-0.9501856257715051,0.2994884751145619,1.685211863354352
2014,110.28545839553632,0.3147553501108398,-0.283534886354558,-0.4992983408149969,0.35664276425856206,1.685211863354352
2015,105.25837016030167,0.20814465416812497,-0.283534886354558,-0.11960378506214701,0.2994884751145619,0.936228812974643
2016,97.9688844001015,0.05355473778023927,-0.6566071052421322,0.21262895122159622,0.47095134254656246,0.1872457625949306
2017,100.48663457691961,0.10694928468298384,-0.6566071052421322,0.4262071388325745,0.47095134254656246,0.1872457625949306
2018,101.98154760150393,0.1386522726686965,-0.8431432146859184,0.7109780556472105,0.49952848711856335,0.1872457625949306
2019,99.87037813518427,0.09388018283748589,-1.0296793241297046,0.8770944237890814,0.5281056316905635,3.3261529103421583e-15
2020,47.15369495323308,-1.0240954759997585,-0.5633390505202374,0.21262895122159622,-3.558426042105465,-0.18724576259492726
2021,120.5808018598194,0.5330912297167536,-1.0296793241297046,1.9924471813130775,1.3568428242785686,-0.18724576259492726
2022,120.39721476652497,0.5291978531006363,-1.2162154335734925,2.1348326397203956,1.385419968850569,-0.18724576259492726
2023,97.35538234469551,0.040544048882699774,-1.3094834882953856,1.0194798821964006,1.013917089414566,-0.5617372877847818
2024,82.10711299121596,-0.2828297475632148,-1.4027515430172788,0.16516713175249023,1.0424942339865675,-0.936228812974638
2025,88.46094213734351,-0.1480825309892165,-1.3094834882953856,0.02278167334517098,0.8424542219825653,
