year,wjsi,wjsi_with_pt,composite_equal,union_z,openings_z,quits_z,layoffs_z,tenure_z,labor_share_z,covid_flag
2001,103.3698446218096,105.03953358131994,-0.12862311018244824,-0.012072093355752824,0.37197755882779493,0.5685925972398912,-0.6721344403334454,-1.6786267507109742,0.650524467237797,False
2002,100.26433012319814,100.091876513382,-0.1858838123733997,-0.012072093355752824,0.859341924147497,-0.1670656045312549,-0.47209442832944465,-1.4074639679038163,0.08405129573237334,False
2003,96.34498618086793,94.75856835708485,-0.25815022309729907,-0.1603863831550211,0.9844760179457992,-0.5467601602841035,-0.6435572957614459,-1.0007197936930798,-0.18195372363594337,False
2004,100.30559767969918,98.85191354916363,-0.18512290487674807,-0.3087006729542894,0.7671378550329591,-0.19079651426580727,-0.44351728375744376,-0.5939756194823435,-0.34088519383356364,False
2005,100.0,100.0,-0.19075763552615377,-0.3087006729542894,0.5432136871833658,0.28382168042525396,-0.35778585004144425,-0.5939756194823435,-0.7111190382874651,False
2006,101.01485805701711,102.08126226760193,-0.17204528206751515,-0.49409353520337457,0.3258755242705256,0.4736689583016792,-0.014860115177440751,-0.5939756194823435,-0.728886905114137,False
2007,99.48673362211926,99.96611930702069,-0.20022144360742278,-0.45701496275355763,0.292945499586762,0.23635986095614797,-0.18632298260944288,-0.45839422807876506,-0.6289018487456812,False
2008,96.57838791817271,90.70174632976648,-0.2538466697322654,-0.34577924540410626,0.7671378550329591,-0.45183652134589153,-0.586403006617445,-0.3228128366751867,-0.5833862633839216,False
2009,81.23744400603982,62.82670851343957,-0.5367090492424874,-0.3828578178539232,1.412566338834727,-1.8994220151536294,-1.2722544763454504,0.08393133753555095,-1.1622176624721994,False
2010,88.61100334761448,68.71799412242393,-0.4007524514761604,-0.5311721076531914,1.1425401364278647,-1.6621129178080996,-0.21490012718144297,0.49067551174628854,-1.6295452043883814,False
2011,90.99645627160264,72.3765992943106,-0.3567685288340044,-0.5682506801030084,0.8790999389577552,-1.4959965496662273,-0.1291686934654419,0.7618382945534453,-1.5881334832805494,False
2012,91.97535986274514,75.97903581949669,-0.33871911800976723,-0.7536435423520935,0.6946918007286789,-1.3536110912589092,-0.014860115177440751,1.0330010773606022,-1.6378928373594406,False
2013,96.19410465738947,80.62741156937068,-0.2609322361859127,-0.7536435423520935,0.5959017266773878,-0.9501856257715063,0.2994884751145611,1.0330010773606022,-1.7901555281444272,False
2014,97.28656901985214,85.38554415325085,-0.2407889470332871,-0.8278006872517281,0.2666014798397512,-0.49929834081499813,0.3566427642585613,1.0330010773606022,-1.7738799755919108,False
2015,93.84638086381386,86.94281758276726,-0.3042204942283891,-0.8278006872517281,-0.08904278674489664,-0.11960378506214828,0.2994884751145611,0.49067551174628854,-1.5790396931724113,False
2016,90.72604218397751,86.82272516158895,-0.36175453052443746,-0.9761149770509963,-0.1944188657329404,0.21262895122159498,0.4709513425465617,-0.05165005386802746,-1.6319235802628171,False
2017,92.87222539009534,91.89965432384558,-0.32218235738929896,-0.9761149770509963,-0.26686492003722057,0.4262071388325732,0.4709513425465617,-0.05165005386802746,-1.5356226747586843,False
2018,90.82404605013191,92.63036477684513,-0.35994749655440167,-1.0502721219506301,-0.701541245862901,0.7109780556472092,0.49952848711856257,-0.05165005386802746,-1.5667281004106233,False
2019,91.1549787709626,94.70158799652071,-0.35384562841590145,-1.124429266850264,-0.6817832310526425,0.8770944237890802,0.5281056316905627,-0.18723144527160585,-1.5348298828005391,False
2020,54.234656226451264,50.98215268531875,-1.0345971093574293,-0.9390364046011788,-0.49078908788681347,0.21262895122159498,-3.558426042105466,-0.3228128366751867,-1.1091472360975259,True
2021,94.83847982163365,94.84182376506791,-0.2859277820246388,-1.124429266850264,-2.1438763270117502,1.9924471813130762,1.3568428242785677,-0.3228128366751867,-1.4737382672022756,True
2022,88.25027053457222,94.46087284118995,-0.4074037854780958,-1.1985864117498983,-2.5192786084066565,2.1348326397203943,1.3854199688505684,-0.3228128366751867,-1.9239974646077957,False
2023,78.26424308757028,86.12044713393583,-0.5915301014135431,-1.2356649841997154,-1.551135882704004,1.0194798821963995,1.013917089414565,-0.5939756194823435,-2.2018010937061607,False
2024,75.54500371481998,82.31654788346987,-0.6416685103562751,-1.2727435566495322,-0.7805733051039335,0.16516713175248898,1.0424942339865668,-0.8651384022895015,-2.1392171638337394,False
2025,77.73754803781058,84.81580528319046,-0.6012415126477275,-1.2356649841997154,-0.4842030829500604,0.022781673345169715,0.8424542219825645,,-2.1515753914165963,False
